_original_index,funding_total_usd,seed,venture,angel,debt_financing,private_equity,undisclosed,founded_year,funding_rounds,funding_duration_days,avg_days_between_rounds,is_single_round,has_round_a,has_round_b,has_round_c,has_round_d,has_round_e,country_code,market,is_usa,last_funding_at
886,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1991.0,1.0,0,0.0,1,0,0,0,0,0,USA,other,1,1993-08-30
3310,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1994.0,1.0,0,0.0,1,0,0,0,0,0,USA, News ,1,1995-04-01
4224,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1996.0,1.0,0,0.0,1,0,0,0,0,0,other,other,0,1996-10-01
5446,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1996.0,1.0,0,0.0,1,0,0,0,0,0,USA, Biotechnology ,1,1996-10-01
1913,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1990.0,1.0,0,0.0,1,0,0,0,0,0,USA,other,1,1996-12-05
1947,17.529082649058825,0.0,17.529082649058825,0.0,0.0,0.0,0.0,1997.0,1.0,0,0.0,1,1,0,0,0,0,USA, Telecommunications ,1,1997-03-01
800,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1993.0,1.0,0,0.0,1,0,0,0,0,0,USA,other,1,1997-03-07
3280,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1997.0,1.0,0,0.0,1,0,0,0,0,0,other,other,0,1997-11-01
1900,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1990.0,1.0,0,0.0,1,0,0,0,0,0,USA,other,1,1998-01-07
1372,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1990.0,1.0,0,0.0,1,0,0,0,0,0,USA,other,1,1998-02-25
225,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1995.0,1.0,0,0.0,1,0,0,0,0,0,other,other,0,1998-04-15
3882,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1996.0,1.0,0,0.0,1,0,0,0,0,0,USA,other,1,1998-06-02
2076,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1996.0,1.0,0,0.0,1,0,0,0,0,0,USA,other,1,1998-06-04
2707,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1998.0,2.0,98,98.0,0,0,0,0,0,0,USA, Web Hosting ,1,1998-06-30
710,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1995.0,1.0,0,0.0,1,0,0,0,0,0,USA, Music ,1,1998-07-01
235,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1998.0,1.0,0,0.0,1,0,0,0,0,0,DEU, Biotechnology ,0,1998-10-01
1198,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1997.0,2.0,385,385.0,0,0,0,0,0,0,USA, Enterprise Software ,1,1998-10-20
536,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1997.0,1.0,0,0.0,1,0,0,0,0,0,other,other,0,1998-12-02
696,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1997.0,1.0,0,0.0,1,0,0,0,0,0,CAN, Mobile ,0,1999-01-01
2547,14.914123179965662,0.0,14.914123179965662,0.0,0.0,0.0,0.0,1999.0,1.0,0,0.0,1,1,0,0,0,0,GBR, E-Commerce ,0,1999-01-01
2129,13.527829818844936,0.0,0.0,13.527829818844936,0.0,0.0,0.0,1999.0,1.0,0,0.0,1,0,0,0,0,0,USA,other,1,1999-03-01
2724,14.508658238524095,14.508658238524095,0.0,0.0,0.0,0.0,0.0,1999.0,1.0,0,0.0,1,0,0,0,0,0,DEU, Mobile ,0,1999-04-03
3584,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1998.0,2.0,120,120.0,0,0,0,0,0,0,GBR, Advertising ,0,1999-04-13
5626,15.319588176962746,0.0,15.319588176962746,0.0,0.0,0.0,0.0,1996.0,2.0,212,212.0,0,1,1,0,0,0,other, Software ,0,1999-05-01
5584,16.012735246411598,0.0,0.0,0.0,0.0,0.0,16.012735246411598,1997.0,1.0,0,0.0,1,0,0,0,0,0,USA, Email ,1,1999-05-18
5131,16.530205368010318,0.0,0.0,0.0,0.0,0.0,16.530205368010318,1997.0,1.0,0,0.0,1,0,0,0,0,0,USA, E-Commerce ,1,1999-05-31
4910,15.607270193858982,0.0,15.607270193858982,0.0,0.0,0.0,0.0,1999.0,1.0,0,0.0,1,1,0,0,0,0,USA, Mobile ,1,1999-06-01
5362,12.429220196836384,0.0,0.0,12.429220196836384,0.0,0.0,0.0,1999.0,1.0,0,0.0,1,0,0,0,0,0,other, Curated Web ,0,1999-06-01
4294,15.068273812173889,0.0,0.0,0.0,0.0,0.0,15.068273812173889,1999.0,1.0,0,0.0,1,0,0,0,0,0,GBR, Services ,0,1999-06-29
1331,17.073607134447293,0.0,0.0,0.0,17.073607134447293,0.0,0.0,1998.0,1.0,0,0.0,1,0,0,0,0,0,USA, Search ,1,1999-08-02
782,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1996.0,1.0,0,0.0,1,0,0,0,0,0,USA,other,1,1999-11-09
4931,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1999.0,1.0,0,0.0,1,0,0,0,0,0,USA,other,1,1999-11-14
5198,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1999.0,1.0,0,0.0,1,0,0,0,0,0,USA, Marketing Automation ,1,1999-11-24
1321,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1994.0,1.0,0,0.0,1,0,0,0,0,0,USA, Payments ,1,1999-12-01
1860,8.294299608857235,8.294299608857235,0.0,0.0,0.0,0.0,0.0,1999.0,1.0,0,0.0,1,0,0,0,0,0,USA, Mobile ,1,1999-12-01
1845,13.122365377402328,13.122365377402328,0.0,0.0,0.0,0.0,0.0,1999.0,1.0,0,0.0,1,0,0,0,0,0,IRL, Mobile ,0,1999-12-07
4149,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1997.0,1.0,0,0.0,1,0,0,0,0,0,USA, Software ,1,1999-12-13
930,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2000.0,1.0,0,0.0,1,0,0,0,0,0,other, Customer Service ,0,2000-01-01
936,16.759949589762293,0.0,16.759949589762293,0.0,0.0,0.0,0.0,1999.0,2.0,0,0.0,0,0,0,0,0,0,USA, Payments ,1,2000-01-01
1570,15.687312888712007,0.0,15.687312888712007,0.0,0.0,0.0,0.0,2000.0,1.0,0,0.0,1,1,0,0,0,0,other, Nonprofits ,0,2000-01-01
2364,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1996.0,1.0,0,0.0,1,0,0,0,0,0,FRA,other,0,2000-01-01
2769,16.52356082573315,0.0,16.52356082573315,0.0,0.0,0.0,0.0,1999.0,1.0,0,0.0,1,0,0,1,0,0,USA, Digital Rights Management ,1,2000-01-01
3523,16.588099342704055,0.0,16.588099342704055,0.0,0.0,0.0,0.0,1999.0,1.0,0,0.0,1,0,0,0,0,0,USA, Software ,1,2000-01-01
1414,17.782021767615884,0.0,17.782021767615884,0.0,0.0,0.0,0.0,1997.0,2.0,636,636.0,0,0,1,0,0,0,USA, Hardware + Software ,1,2000-01-27
3573,18.261685024185237,0.0,0.0,0.0,17.216707972959764,0.0,17.828283484575746,1999.0,4.0,180,60.0,0,0,0,0,0,0,other, Retail ,0,2000-01-27
1518,14.626441218624947,0.0,14.53335083891935,12.206077645517674,0.0,0.0,0.0,1998.0,2.0,396,396.0,0,1,0,0,0,0,USA, Software ,1,2000-02-01
5069,16.998551971282627,0.0,16.998551971282627,0.0,0.0,0.0,0.0,1996.0,4.0,1498,499.3333333333333,0,1,1,1,1,0,ARG, Finance ,0,2000-02-07
4886,16.176364653421913,0.0,0.0,0.0,0.0,0.0,16.176364653421913,1999.0,2.0,169,169.0,0,0,0,0,0,0,USA, Education ,1,2000-02-15
2708,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2000.0,1.0,0,0.0,1,0,0,0,0,0,other, Curated Web ,0,2000-03-01
5565,17.370858648025116,0.0,17.370858648025116,0.0,0.0,0.0,0.0,1999.0,2.0,175,175.0,0,1,1,0,0,0,USA,other,1,2000-03-07
4934,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1998.0,1.0,0,0.0,1,0,0,0,0,0,USA, Games ,1,2000-03-30
4668,15.830413711839864,0.0,15.830413711839864,0.0,0.0,0.0,0.0,1998.0,1.0,0,0.0,1,0,0,0,0,0,USA, Wireless ,1,2000-04-02
4234,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2000.0,1.0,0,0.0,1,0,0,0,0,0,JPN,other,0,2000-04-07
4526,17.588271519047417,0.0,17.588271519047417,0.0,0.0,0.0,0.0,1999.0,2.0,182,182.0,0,1,1,0,0,0,USA, Photography ,1,2000-05-01
4695,15.894952224644102,0.0,0.0,0.0,0.0,0.0,15.894952224644102,1999.0,2.0,231,231.0,0,0,0,0,0,0,USA, E-Commerce ,1,2000-05-03
4404,18.126309696772605,0.0,18.126309696772605,0.0,0.0,0.0,0.0,1996.0,3.0,648,324.0,0,1,1,1,0,0,GBR, Advertising ,0,2000-05-05
4194,16.118095750958314,0.0,0.0,0.0,0.0,0.0,16.118095750958314,2000.0,1.0,0,0.0,1,0,0,0,0,0,USA, Internet ,1,2000-05-09
