feature_set,removed_feature_group,mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_model__colsample_bytree,param_model__learning_rate,param_model__max_depth,param_model__min_child_weight,param_model__n_estimators,param_model__subsample,params,split0_test_score,split1_test_score,split2_test_score,split3_test_score,split4_test_score,mean_test_score,std_test_score,rank_test_score,split0_train_score,split1_train_score,split2_train_score,split3_train_score,split4_train_score,mean_train_score,std_train_score
Without funding scale,funding scale,0.07896623611450196,0.004214238336806239,0.01107616424560547,0.0020174627204066946,0.7,0.01,3,1,100,0.7,"{'model__colsample_bytree': 0.7, 'model__learning_rate': 0.01, 'model__max_depth': 3, 'model__min_child_weight': 1, 'model__n_estimators': 100, 'model__subsample': 0.7}",0.7441441441441441,0.7407407407407407,0.7479526842584168,0.7379873073436083,0.7349177330895795,0.7411485219152978,0.004566238499569579,21,0.7488130228351797,0.7499431171786121,0.7472972972972973,0.7469934195597913,0.7453501722158439,0.7476794058173449,0.0015780614631415036
Without funding scale,funding scale,0.07524347305297852,0.0033974290979756506,0.011002254486083985,0.002298797308655621,0.7,0.01,3,1,100,1.0,"{'model__colsample_bytree': 0.7, 'model__learning_rate': 0.01, 'model__max_depth': 3, 'model__min_child_weight': 1, 'model__n_estimators': 100, 'model__subsample': 1.0}",0.7404021937842779,0.7408071748878924,0.7461328480436761,0.7373188405797102,0.7307692307692307,0.7390860576129574,0.0050327801315205025,28,0.7455757297173063,0.7496610935381834,0.7470694319206492,0.7454092042620721,0.7467278989667049,0.7468886716809833,0.0015269240667292652
Without funding scale,funding scale,0.17763824462890626,0.007355954099521372,0.014253807067871094,0.001185166477445947,0.7,0.01,3,1,300,0.7,"{'model__colsample_bytree': 0.7, 'model__learning_rate': 0.01, 'model__max_depth': 3, 'model__min_child_weight': 1, 'model__n_estimators': 300, 'model__subsample': 0.7}",0.7398297067171239,0.7362534948741846,0.7383444338725024,0.7232401157184185,0.7369402985074627,0.7349216099379385,0.005968441436517226,99,0.7482185273159145,0.7532710280373832,0.7502374169040835,0.7389423076923077,0.7471128918218242,0.7475564343543027,0.004789207107899156
Without funding scale,funding scale,0.18523082733154297,0.02717356833965029,0.01597275733947754,0.003727539894192194,0.7,0.01,3,1,300,1.0,"{'model__colsample_bytree': 0.7, 'model__learning_rate': 0.01, 'model__max_depth': 3, 'model__min_child_weight': 1, 'model__n_estimators': 300, 'model__subsample': 1.0}",0.7407407407407407,0.7375231053604436,0.7377358490566037,0.7388059701492538,0.7358665430954587,0.7381344416805001,0.0016074649261389852,32,0.751124792801326,0.7525581395348837,0.7508258612553091,0.7511100724468334,0.7503506311360448,0.7511938994348795,0.0007374967480099751
Without funding scale,funding scale,0.4322096347808838,0.056323710595795384,0.02294154167175293,0.0027310347496280946,0.7,0.01,3,1,500,0.7,"{'model__colsample_bytree': 0.7, 'model__learning_rate': 0.01, 'model__max_depth': 3, 'model__min_child_weight': 1, 'model__n_estimators': 500, 'model__subsample': 0.7}",0.740530303030303,0.7355450236966825,0.739961759082218,0.7243035542747358,0.7367424242424242,0.7354166128652727,0.005866558064546072,82,0.7542312276519666,0.7546186641402179,0.7506574229022233,0.7460890493381468,0.750835322195704,0.7512863372456519,0.003078555877602389
Without funding scale,funding scale,0.40742011070251466,0.06361893989078703,0.0334740161895752,0.017016938485349128,0.7,0.01,3,1,500,1.0,"{'model__colsample_bytree': 0.7, 'model__learning_rate': 0.01, 'model__max_depth': 3, 'model__min_child_weight': 1, 'model__n_estimators': 500, 'model__subsample': 1.0}",0.7357414448669202,0.7360594795539034,0.738255033557047,0.7406716417910447,0.7291666666666666,0.7359788532871163,0.003838541662364347,65,0.7544399715841819,0.7567567567567568,0.7526265520534862,0.7565913370998116,0.7474214439913648,0.7535672122971203,0.003427405526557539
Without funding scale,funding scale,0.11347694396972656,0.008417992316674202,0.018247556686401368,0.004513011320264738,0.7,0.01,3,3,100,0.7,"{'model__colsample_bytree': 0.7, 'model__learning_rate': 0.01, 'model__max_depth': 3, 'model__min_child_weight': 3, 'model__n_estimators': 100, 'model__subsample': 0.7}",0.7448151487826871,0.7407407407407407,0.7527075812274369,0.7377938517179023,0.7326007326007326,0.7417316110139,0.0067799828918291335,13,0.7470641373080398,0.7498863119599818,0.7485958211637834,0.7479638009049774,0.7445589919816724,0.747613812663691,0.0017824229526592975
Without funding scale,funding scale,0.11974482536315918,0.010472916635689025,0.017874383926391603,0.004285164571050949,0.7,0.01,3,3,100,1.0,"{'model__colsample_bytree': 0.7, 'model__learning_rate': 0.01, 'model__max_depth': 3, 'model__min_child_weight': 3, 'model__n_estimators': 100, 'model__subsample': 1.0}",0.7404021937842779,0.7396768402154399,0.7461328480436761,0.7384615384615385,0.7307692307692307,0.7390885302548326,0.004925405490486133,27,0.7447833065810594,0.7498305084745762,0.7478535924084952,0.7454092042620721,0.7467278989667049,0.7469209021385816,0.0018015279976613169
Without funding scale,funding scale,0.32370791435241697,0.011754257744211192,0.026036739349365234,0.00654308037813608,0.7,0.01,3,3,300,0.7,"{'model__colsample_bytree': 0.7, 'model__learning_rate': 0.01, 'model__max_depth': 3, 'model__min_child_weight': 3, 'model__n_estimators': 300, 'model__subsample': 0.7}",0.7400379506641366,0.7374301675977654,0.7369420702754036,0.722007722007722,0.7376283846872083,0.7348092590464472,0.006489747011061059,102,0.7472684085510689,0.751461304652794,0.7505330490405118,0.7375783888084901,0.7468175388967468,0.7467317379899224,0.004917274546858645
Without funding scale,funding scale,0.2892437934875488,0.012891777717671185,0.02542266845703125,0.006589818836431991,0.7,0.01,3,3,300,1.0,"{'model__colsample_bytree': 0.7, 'model__learning_rate': 0.01, 'model__max_depth': 3, 'model__min_child_weight': 3, 'model__n_estimators': 300, 'model__subsample': 1.0}",0.7386363636363636,0.7356746765249538,0.7384324834749764,0.7406716417910447,0.7340129749768304,0.7374856280808337,0.002354157001404889,44,0.7512977819726286,0.7527331937659921,0.7499409681227863,0.7505260696750058,0.7506426735218509,0.7510281374116528,0.0009552504222364194
