market,count,percentage
 Software ,718,11.41
 Curated Web ,459,7.29
 Mobile ,342,5.43
 Biotechnology ,322,5.12
 Enterprise Software ,249,3.96
missing,231,3.67
 Games ,227,3.61
 Advertising ,214,3.4
 E-Commerce ,188,2.99
 Social Media ,162,2.57
 Clean Technology ,138,2.19
 Hardware + Software ,137,2.18
 Semiconductors ,127,2.02
 Health Care ,118,1.87
 Web Hosting ,115,1.83
 Security ,115,1.83
 Finance ,97,1.54
 Messaging ,73,1.16
 Analytics ,71,1.13
 Search ,61,0.97
 Music ,60,0.95
 Public Relations ,59,0.94
 Education ,53,0.84
 News ,52,0.83
 Health and Wellness ,52,0.83
 Video ,47,0.75
 Consulting ,46,0.73
 Travel ,46,0.73
 Networking ,42,0.67
 Social Network Media ,41,0.65
 Photography ,37,0.59
 Manufacturing ,35,0.56
 SaaS ,30,0.48
 Sports ,30,0.48
 Hospitality ,28,0.44
 Internet ,25,0.4
 Web Development ,24,0.38
 Sales and Marketing ,23,0.37
 Fashion ,23,0.37
 Cloud Computing ,22,0.35
 Facebook Applications ,21,0.33
 iPhone ,21,0.33
 Android ,20,0.32
 Automotive ,20,0.32
 Apps ,20,0.32
 Marketplaces ,18,0.29
 Shopping ,18,0.29
 Location Based Services ,17,0.27
 Real Estate ,16,0.25
 Startups ,16,0.25
 Wireless ,15,0.24
 Video Streaming ,15,0.24
 Storage ,15,0.24
 Internet Marketing ,14,0.22
 Entertainment ,14,0.22
 Medical ,14,0.22
 Web Tools ,14,0.22
 Technology ,14,0.22
 Media ,14,0.22
 Payments ,14,0.22
 Television ,13,0.21
 Enterprises ,13,0.21
 Publishing ,12,0.19
 Reviews and Recommendations ,12,0.19
 Legal ,11,0.17
 VoIP ,11,0.17
 Nanotechnology ,10,0.16
 Content ,10,0.16
 Nonprofits ,10,0.16
 Databases ,10,0.16
 Design ,10,0.16
 Public Transportation ,10,0.16
 Services ,9,0.14
 Email ,9,0.14
 Coupons ,9,0.14
 Chat ,9,0.14
 Medical Devices ,9,0.14
 Twitter Applications ,9,0.14
 Consumer Electronics ,9,0.14
 Social Commerce ,8,0.13
 Hardware ,8,0.13
 Big Data ,8,0.13
 Local ,8,0.13
 Customer Service ,8,0.13
 Collaboration ,8,0.13
 Recruiting ,8,0.13
 Photo Sharing ,8,0.13
 Telecommunications ,7,0.11
 Auctions ,7,0.11
 Opinions ,7,0.11
 Information Technology ,7,0.11
 Real Time ,7,0.11
 Peer-to-Peer ,7,0.11
 Cloud Data Services ,7,0.11
 Blogging Platforms ,7,0.11
 Tracking ,7,0.11
 Financial Services ,7,0.11
 Events ,7,0.11
 Business Intelligence ,7,0.11
 Career Management ,6,0.1
 Solar ,6,0.1
 Audio ,6,0.1
 File Sharing ,6,0.1
 Venture Capital ,6,0.1
 Mobile Payments ,6,0.1
 Cloud Management ,6,0.1
 PaaS ,6,0.1
 Maps ,6,0.1
 Brand Marketing ,6,0.1
 Retail ,6,0.1
 Lifestyle ,5,0.08
 Virtual Worlds ,5,0.08
 SEO ,5,0.08
 Displays ,5,0.08
 Transportation ,5,0.08
 Colleges ,5,0.08
 Business Services ,5,0.08
 Browser Extensions ,5,0.08
 Mobile Commerce ,5,0.08
 Mobile Games ,5,0.08
 Pharmaceuticals ,5,0.08
 Social Bookmarking ,5,0.08
 Video Games ,5,0.08
 Social Games ,5,0.08
 Online Shopping ,5,0.08
 Social Search ,5,0.08
 Email Marketing ,5,0.08
 Gift Card ,5,0.08
 CRM ,5,0.08
 Hotels ,5,0.08
 Restaurants ,4,0.06
 Productivity Software ,4,0.06
 Business Development ,4,0.06
 Contact Management ,4,0.06
 iOS ,4,0.06
 Predictive Analytics ,4,0.06
 Flash Storage ,4,0.06
 Optimization ,4,0.06
 Open Source ,4,0.06
 Online Scheduling ,4,0.06
 Lead Generation ,4,0.06
 Web Design ,4,0.06
 Electronics ,4,0.06
 Digital Media ,4,0.06
 Document Management ,4,0.06
 Social Media Marketing ,4,0.06
 Online Rental ,4,0.06
 Data Integration ,4,0.06
 Pets ,4,0.06
 Communities ,4,0.06
 Healthcare Services ,4,0.06
 Employment ,4,0.06
 Information Services ,4,0.06
 Crowdsourcing ,4,0.06
 Ticketing ,4,0.06
 Task Management ,3,0.05
 Classifieds ,3,0.05
 Clean Energy ,3,0.05
 Web CMS ,3,0.05
 Data Mining ,3,0.05
 Agriculture ,3,0.05
 DOD/Military ,3,0.05
 Reputation ,3,0.05
 Meeting Software ,3,0.05
 Fitness ,3,0.05
 Incentives ,3,0.05
 Advice ,3,0.05
 Flash Sales ,3,0.05
 Parenting ,3,0.05
 Group Buying ,3,0.05
 Hospitals ,3,0.05
 SMS ,3,0.05
 Personalization ,3,0.05
 Private Social Networking ,3,0.05
 Data Centers ,3,0.05
 Local Businesses ,3,0.05
 Consumer Internet ,3,0.05
 Life Sciences ,3,0.05
 Video on Demand ,3,0.05
 Gambling ,3,0.05
 Celebrity ,3,0.05
 Promotional ,3,0.05
 Market Research ,3,0.05
 Fantasy Sports ,3,0.05
 iPad ,3,0.05
 Data Security ,3,0.05
 Risk Management ,3,0.05
 Tutoring ,3,0.05
 Consumers ,3,0.05
 Online Reservations ,3,0.05
 Online Gaming ,3,0.05
 Home Automation ,3,0.05
 Mobile Advertising ,3,0.05
 Graphics ,3,0.05
 Mobile Software Tools ,3,0.05
 Price Comparison ,3,0.05
 MicroBlogging ,3,0.05
 Semantic Web ,3,0.05
 Virtualization ,3,0.05
 Electronic Health Records ,2,0.03
 Social Media Advertising ,2,0.03
 Lighting ,2,0.03
 Credit ,2,0.03
 Social Media Monitoring ,2,0.03
 Virtual Currency ,2,0.03
 Sensors ,2,0.03
 Testing ,2,0.03
 Diagnostics ,2,0.03
 Monetization ,2,0.03
 Cars ,2,0.03
 MMO Games ,2,0.03
 Infrastructure ,2,0.03
 World Domination ,2,0.03
 Accounting ,2,0.03
 Navigation ,2,0.03
 Digital Rights Management ,2,0.03
 Auto ,2,0.03
 Outsourcing ,2,0.03
 Ediscovery ,2,0.03
 Search Marketing ,2,0.03
 Beauty ,2,0.03
 Service Providers ,2,0.03
 Synchronization ,2,0.03
 Law Enforcement ,2,0.03
 Tech Field Support ,2,0.03
 Cyber Security ,2,0.03
 Distribution ,2,0.03
 3D ,2,0.03
 Developer APIs ,2,0.03
 Credit Cards ,2,0.03
 Kids ,2,0.03
 Journalism ,2,0.03
 Finance Technology ,2,0.03
 Politics ,2,0.03
 Marketing Automation ,2,0.03
 WebOS ,2,0.03
 Career Planning ,2,0.03
 Crowdfunding ,2,0.03
 Guides ,2,0.03
 Application Platforms ,2,0.03
 Linux ,2,0.03
 Surveys ,2,0.03
 Privacy ,2,0.03
 All Markets ,2,0.03
 B2B ,2,0.03
 Web Browsers ,2,0.03
 Archiving ,2,0.03
 NFC ,2,0.03
 Portals ,2,0.03
 Film ,2,0.03
 Property Management ,2,0.03
 Internet TV ,2,0.03
 Online Dating ,2,0.03
 Gps ,2,0.03
 Telephony ,2,0.03
 Game ,2,0.03
 Banking ,2,0.03
 Information Security ,2,0.03
 IaaS ,2,0.03
 Concerts ,2,0.03
 SNS ,2,0.03
 Visual Search ,2,0.03
 Energy ,2,0.03
 Network Security ,2,0.03
 Supply Chain Management ,2,0.03
 Trusted Networks ,2,0.03
 RFID ,2,0.03
 Cooking ,2,0.03
 Human Resources ,2,0.03
 Social Buying ,2,0.03
 Stock Exchanges ,2,0.03
 Tourism ,2,0.03
 Toys ,2,0.03
 Visualization ,2,0.03
 Mobile Devices ,2,0.03
 Vertical Search ,1,0.02
 Industrial ,1,0.02
 Local Based Services ,1,0.02
 App Marketing ,1,0.02
 Cloud Infrastructure ,1,0.02
 Personal Branding ,1,0.02
 Enterprise Security ,1,0.02
 Homeland Security ,1,0.02
 Development Platforms ,1,0.02
 Artificial Intelligence ,1,0.02
 Creative Industries ,1,0.02
 Personal Finance ,1,0.02
 Wine And Spirits ,1,0.02
 Data Privacy ,1,0.02
 Mobility ,1,0.02
 Semiconductor Manufacturing Equipment ,1,0.02
 Robotics ,1,0.02
 E-Books ,1,0.02
 Flowers ,1,0.02
 Cosmetics ,1,0.02
 Environmental Innovation ,1,0.02
 Tablets ,1,0.02
 Nightlife ,1,0.02
 Leisure ,1,0.02
 Proximity Internet ,1,0.02
 Art ,1,0.02
 Internet of Things ,1,0.02
 Shipping ,1,0.02
 Indoor Positioning ,1,0.02
 Customer Support Tools ,1,0.02
 Communications Infrastructure ,1,0.02
 Consumer Goods ,1,0.02
 Freemium ,1,0.02
 Trading ,1,0.02
 Freelancers ,1,0.02
 Intellectual Asset Management ,1,0.02
 Smart Grid ,1,0.02
 Small and Medium Businesses ,1,0.02
 Personal Health ,1,0.02
 Bioinformatics ,1,0.02
 High Schools ,1,0.02
 Utilities ,1,0.02
 Commodities ,1,0.02
 Social CRM ,1,0.02
 Developer Tools ,1,0.02
 Renewable Energies ,1,0.02
 Recycling ,1,0.02
 Organic Food ,1,0.02
 Mobile Social ,1,0.02
 Ad Targeting ,1,0.02
 Taxis ,1,0.02
 Big Data Analytics ,1,0.02
 Clinical Trials ,1,0.02
 Home & Garden ,1,0.02
 Video Chat ,1,0.02
 Interior Design ,1,0.02
 Travel & Tourism ,1,0.02
 Semantic Search ,1,0.02
 IT and Cybersecurity ,1,0.02
 Energy Efficiency ,1,0.02
 FreetoPlay Gaming ,1,0.02
 Product Design ,1,0.02
 Women ,1,0.02
 Virtual Goods ,1,0.02
 Spas ,1,0.02
 Unifed Communications ,1,0.02
 Licensing ,1,0.02
 Language Learning ,1,0.02
 Demographies ,1,0.02
 DIY ,1,0.02
 Diabetes ,1,0.02
 Doctors ,1,0.02
 Neuroscience ,1,0.02
 Mobile Video ,1,0.02
 Cable ,1,0.02
 Cloud Security ,1,0.02
 Emerging Markets ,1,0.02
 Home Decor ,1,0.02
 Shoes ,1,0.02
 Medical Professionals ,1,0.02
 Humanitarian ,1,0.02
 Oil ,1,0.02
 Interest Graph ,1,0.02
 Game Mechanics ,1,0.02
 Photo Editing ,1,0.02
 Local Search ,1,0.02
 Mobile Coupons ,1,0.02
 Physicians ,1,0.02
 All Students ,1,0.02
 mHealth ,1,0.02
 Investment Management ,1,0.02
 Advertising Platforms ,1,0.02
 Subscription Businesses ,1,0.02
 Machine Learning ,1,0.02
 Artists Globally ,1,0.02
 M2M ,1,0.02
 Professional Networking ,1,0.02
 Training ,1,0.02
 Vacation Rentals ,1,0.02
 Windows Phone 7 ,1,0.02
 Translation ,1,0.02
 Local Advertising ,1,0.02
 Entrepreneur ,1,0.02
 Collaborative Consumption ,1,0.02
 Fraud Detection ,1,0.02
 Lead Management ,1,0.02
 Computers ,1,0.02
 Aerospace ,1,0.02
 iPod Touch ,1,0.02
 Match-Making ,1,0.02
 Contests ,1,0.02
 Mac ,1,0.02
 Sustainability ,1,0.02
 Loyalty Programs ,1,0.02
 Babies ,1,0.02
 Social Media Agent ,1,0.02
 Forums ,1,0.02
 Content Discovery ,1,0.02
 Charity ,1,0.02
 Natural Language Processing ,1,0.02
 Universities ,1,0.02
 Energy Management ,1,0.02
 Communications Hardware ,1,0.02
 Discounts ,1,0.02
 Social Travel ,1,0.02
 E-Commerce Platforms ,1,0.02
 Billing ,1,0.02
 Professional Services ,1,0.02
 Image Recognition ,1,0.02
 Architecture ,1,0.02
 Speech Recognition ,1,0.02
 Social Recruiting ,1,0.02
 Postal and Courier Services ,1,0.02
