,funding_total_usd,seed,venture,angel,debt_financing,private_equity,undisclosed,founded_year,funding_rounds,funding_duration_days,avg_days_between_rounds,is_single_round,has_round_a,has_round_b,has_round_c,has_round_d,has_round_e
funding_total_usd,1.0,0.03,0.68,0.05,0.18,0.13,0.05,-0.23,0.36,0.36,0.31,-0.4,0.33,0.34,0.27,0.19,0.11
seed,0.03,1.0,-0.41,-0.03,-0.1,-0.05,-0.04,0.33,-0.03,-0.09,-0.07,-0.0,-0.13,-0.18,-0.14,-0.1,-0.07
venture,0.68,-0.41,1.0,-0.19,0.08,-0.03,-0.08,-0.35,0.39,0.41,0.35,-0.42,0.49,0.45,0.34,0.23,0.14
angel,0.05,-0.03,-0.19,1.0,-0.04,-0.03,-0.03,0.07,0.04,-0.01,-0.01,-0.06,-0.04,-0.07,-0.06,-0.04,-0.03
debt_financing,0.18,-0.1,0.08,-0.04,1.0,0.04,-0.01,-0.07,0.4,0.3,0.15,-0.27,-0.0,0.07,0.08,0.11,0.11
private_equity,0.13,-0.05,-0.03,-0.03,0.04,1.0,0.0,-0.05,0.11,0.09,0.03,-0.06,-0.04,0.0,0.0,0.04,0.02
undisclosed,0.05,-0.04,-0.08,-0.03,-0.01,0.0,1.0,-0.1,0.06,0.03,0.03,-0.05,-0.04,-0.03,-0.03,-0.02,-0.01
founded_year,-0.23,0.33,-0.35,0.07,-0.07,-0.05,-0.1,1.0,-0.16,-0.26,-0.24,0.14,-0.04,-0.19,-0.22,-0.19,-0.14
funding_rounds,0.36,-0.03,0.39,0.04,0.4,0.11,0.06,-0.16,1.0,0.81,0.44,-0.74,0.32,0.46,0.45,0.35,0.22
funding_duration_days,0.36,-0.09,0.41,-0.01,0.3,0.09,0.03,-0.26,0.81,1.0,0.79,-0.7,0.29,0.46,0.46,0.35,0.2
avg_days_between_rounds,0.31,-0.07,0.35,-0.01,0.15,0.03,0.03,-0.24,0.44,0.79,1.0,-0.7,0.21,0.32,0.25,0.17,0.09
is_single_round,-0.4,-0.0,-0.42,-0.06,-0.27,-0.06,-0.05,0.14,-0.74,-0.7,-0.7,1.0,-0.33,-0.42,-0.31,-0.21,-0.11
has_round_a,0.33,-0.13,0.49,-0.04,-0.0,-0.04,-0.04,-0.04,0.32,0.29,0.21,-0.33,1.0,0.3,0.11,0.01,-0.02
has_round_b,0.34,-0.18,0.45,-0.07,0.07,0.0,-0.03,-0.19,0.46,0.46,0.32,-0.42,0.3,1.0,0.33,0.13,0.04
has_round_c,0.27,-0.14,0.34,-0.06,0.08,0.0,-0.03,-0.22,0.45,0.46,0.25,-0.31,0.11,0.33,1.0,0.35,0.14
has_round_d,0.19,-0.1,0.23,-0.04,0.11,0.04,-0.02,-0.19,0.35,0.35,0.17,-0.21,0.01,0.13,0.35,1.0,0.29
has_round_e,0.11,-0.07,0.14,-0.03,0.11,0.02,-0.01,-0.14,0.22,0.2,0.09,-0.11,-0.02,0.04,0.14,0.29,1.0
