model,feature_set,removed_feature_group,parameter,compared_values,best_value
XGBoost,Full feature set,none,n_estimators,"100, 300, 500",100
XGBoost,Full feature set,none,learning_rate,"0.01, 0.05, 0.1",0.01
XGBoost,Full feature set,none,max_depth,"3, 5, 7",7
XGBoost,Full feature set,none,min_child_weight,"1, 3, 5",1
XGBoost,Full feature set,none,subsample,"0.7, 1.0",0.7
XGBoost,Full feature set,none,colsample_bytree,"0.7, 1.0",0.7
XGBoost,Without funding scale,funding scale,n_estimators,"100, 300, 500",100.0
XGBoost,Without funding scale,funding scale,learning_rate,"0.01, 0.05, 0.1",0.01
XGBoost,Without funding scale,funding scale,max_depth,"3, 5, 7",7.0
XGBoost,Without funding scale,funding scale,min_child_weight,"1, 3, 5",3.0
XGBoost,Without funding scale,funding scale,subsample,"0.7, 1.0",0.7
XGBoost,Without funding scale,funding scale,colsample_bytree,"0.7, 1.0",0.7
XGBoost,Without funding dynamics,funding dynamics,n_estimators,"100, 300, 500",100.0
XGBoost,Without funding dynamics,funding dynamics,learning_rate,"0.01, 0.05, 0.1",0.01
XGBoost,Without funding dynamics,funding dynamics,max_depth,"3, 5, 7",7.0
XGBoost,Without funding dynamics,funding dynamics,min_child_weight,"1, 3, 5",3.0
XGBoost,Without funding dynamics,funding dynamics,subsample,"0.7, 1.0",1.0
XGBoost,Without funding dynamics,funding dynamics,colsample_bytree,"0.7, 1.0",0.7
XGBoost,Without stage structure,stage structure,n_estimators,"100, 300, 500",100.0
XGBoost,Without stage structure,stage structure,learning_rate,"0.01, 0.05, 0.1",0.01
XGBoost,Without stage structure,stage structure,max_depth,"3, 5, 7",7.0
XGBoost,Without stage structure,stage structure,min_child_weight,"1, 3, 5",1.0
XGBoost,Without stage structure,stage structure,subsample,"0.7, 1.0",1.0
XGBoost,Without stage structure,stage structure,colsample_bytree,"0.7, 1.0",0.7
XGBoost,Without geography,geography,n_estimators,"100, 300, 500",100.0
XGBoost,Without geography,geography,learning_rate,"0.01, 0.05, 0.1",0.01
XGBoost,Without geography,geography,max_depth,"3, 5, 7",7.0
XGBoost,Without geography,geography,min_child_weight,"1, 3, 5",1.0
XGBoost,Without geography,geography,subsample,"0.7, 1.0",0.7
XGBoost,Without geography,geography,colsample_bytree,"0.7, 1.0",0.7
XGBoost,Without industry,industry,n_estimators,"100, 300, 500",100.0
XGBoost,Without industry,industry,learning_rate,"0.01, 0.05, 0.1",0.01
XGBoost,Without industry,industry,max_depth,"3, 5, 7",7.0
XGBoost,Without industry,industry,min_child_weight,"1, 3, 5",1.0
XGBoost,Without industry,industry,subsample,"0.7, 1.0",0.7
XGBoost,Without industry,industry,colsample_bytree,"0.7, 1.0",0.7
