rank,feature,original_predictor,mean_abs_shap,mean_shap
1,market_ Clean Technology ,market,0.13404493,-0.13404493
2,funding_total_usd,funding_total_usd,0.12514305,-0.060379792
3,has_round_c,has_round_c,0.06299782,0.06299782
4,founded_year,founded_year,0.047536395,-0.016431486
5,country_code_CAN,country_code,0.047231477,0.047231477
6,market_ Biotechnology ,market,0.045722265,-0.045722265
7,debt_financing,debt_financing,0.04176534,0.011784262
8,funding_duration_days,funding_duration_days,0.039064966,0.025275307
9,market_ Enterprise Software ,market,0.037313454,0.037313454
10,venture,venture,0.032746587,-0.018667499
11,market_ Games ,market,0.03011558,-0.03011558
12,country_code_other,country_code,0.029570995,-0.029540401
13,market_ Hardware + Software ,market,0.02780321,-0.02780321
14,private_equity,private_equity,0.02664568,0.02664568
15,angel,angel,0.026113415,-0.026105026
