encoded_feature,original_predictor,is_grouped_from_encoding
funding_total_usd,funding_total_usd,False
seed,seed,False
venture,venture,False
angel,angel,False
debt_financing,debt_financing,False
private_equity,private_equity,False
undisclosed,undisclosed,False
founded_year,founded_year,False
funding_rounds,funding_rounds,False
funding_duration_days,funding_duration_days,False
avg_days_between_rounds,avg_days_between_rounds,False
is_single_round,is_single_round,False
has_round_a,has_round_a,False
has_round_b,has_round_b,False
has_round_c,has_round_c,False
has_round_d,has_round_d,False
has_round_e,has_round_e,False
country_code_ARE,country_code,True
country_code_ARG,country_code,True
country_code_AUS,country_code,True
country_code_AUT,country_code,True
country_code_BEL,country_code,True
country_code_BGR,country_code,True
country_code_BHR,country_code,True
country_code_BMU,country_code,True
country_code_BRA,country_code,True
country_code_CAN,country_code,True
country_code_CHE,country_code,True
country_code_CHL,country_code,True
country_code_CHN,country_code,True
country_code_CRI,country_code,True
country_code_CZE,country_code,True
country_code_DEU,country_code,True
country_code_DNK,country_code,True
country_code_ESP,country_code,True
country_code_EST,country_code,True
country_code_FIN,country_code,True
country_code_FRA,country_code,True
country_code_GBR,country_code,True
country_code_GRC,country_code,True
country_code_HKG,country_code,True
country_code_HUN,country_code,True
country_code_IDN,country_code,True
country_code_IND,country_code,True
country_code_IRL,country_code,True
country_code_ISR,country_code,True
country_code_ITA,country_code,True
country_code_JOR,country_code,True
country_code_JPN,country_code,True
country_code_KOR,country_code,True
country_code_LTU,country_code,True
country_code_LUX,country_code,True
country_code_LVA,country_code,True
country_code_MAF,country_code,True
country_code_MEX,country_code,True
country_code_MKD,country_code,True
country_code_MYS,country_code,True
country_code_NLD,country_code,True
country_code_NOR,country_code,True
country_code_NZL,country_code,True
country_code_PAK,country_code,True
country_code_PER,country_code,True
country_code_PHL,country_code,True
country_code_POL,country_code,True
country_code_PRT,country_code,True
country_code_RUS,country_code,True
country_code_SGP,country_code,True
country_code_SOM,country_code,True
country_code_SVN,country_code,True
country_code_SWE,country_code,True
country_code_THA,country_code,True
country_code_TUR,country_code,True
country_code_UGA,country_code,True
country_code_USA,country_code,True
country_code_VNM,country_code,True
country_code_ZAF,country_code,True
country_code_other,country_code,True
market_ 3D ,market,True
market_ Accounting ,market,True
market_ Ad Targeting ,market,True
market_ Advertising ,market,True
market_ Advertising Platforms ,market,True
market_ Advice ,market,True
market_ Agriculture ,market,True
market_ Analytics ,market,True
market_ Android ,market,True
market_ App Marketing ,market,True
market_ Application Platforms ,market,True
market_ Apps ,market,True
market_ Architecture ,market,True
market_ Archiving ,market,True
market_ Art ,market,True
market_ Artificial Intelligence ,market,True
market_ Artists Globally ,market,True
market_ Auctions ,market,True
market_ Audio ,market,True
market_ Auto ,market,True
market_ Automotive ,market,True
market_ B2B ,market,True
market_ Banking ,market,True
market_ Beauty ,market,True
market_ Big Data ,market,True
market_ Big Data Analytics ,market,True
market_ Biotechnology ,market,True
market_ Blogging Platforms ,market,True
market_ Brand Marketing ,market,True
market_ Browser Extensions ,market,True
market_ Business Development ,market,True
market_ Business Intelligence ,market,True
market_ Business Services ,market,True
market_ CRM ,market,True
market_ Cable ,market,True
market_ Career Management ,market,True
market_ Career Planning ,market,True
market_ Cars ,market,True
market_ Celebrity ,market,True
market_ Chat ,market,True
market_ Classifieds ,market,True
market_ Clean Energy ,market,True
market_ Clean Technology ,market,True
market_ Clinical Trials ,market,True
market_ Cloud Computing ,market,True
market_ Cloud Data Services ,market,True
market_ Cloud Management ,market,True
market_ Collaboration ,market,True
market_ Colleges ,market,True
market_ Commodities ,market,True
market_ Communications Hardware ,market,True
market_ Communities ,market,True
market_ Concerts ,market,True
market_ Consulting ,market,True
market_ Consumer Electronics ,market,True
market_ Consumer Internet ,market,True
market_ Consumers ,market,True
market_ Contact Management ,market,True
market_ Content ,market,True
market_ Contests ,market,True
market_ Cooking ,market,True
market_ Cosmetics ,market,True
market_ Coupons ,market,True
market_ Credit Cards ,market,True
market_ Crowdsourcing ,market,True
market_ Curated Web ,market,True
market_ Customer Service ,market,True
market_ Customer Support Tools ,market,True
market_ DIY ,market,True
market_ Data Centers ,market,True
market_ Data Integration ,market,True
market_ Data Mining ,market,True
market_ Data Privacy ,market,True
market_ Data Security ,market,True
market_ Databases ,market,True
market_ Demographies ,market,True
market_ Design ,market,True
market_ Developer APIs ,market,True
market_ Diabetes ,market,True
market_ Diagnostics ,market,True
market_ Digital Rights Management ,market,True
market_ Discounts ,market,True
market_ Displays ,market,True
market_ Distribution ,market,True
market_ Doctors ,market,True
market_ Document Management ,market,True
market_ E-Books ,market,True
market_ E-Commerce ,market,True
market_ E-Commerce Platforms ,market,True
market_ Ediscovery ,market,True
market_ Education ,market,True
market_ Electronic Health Records ,market,True
market_ Electronics ,market,True
market_ Email ,market,True
market_ Email Marketing ,market,True
market_ Emerging Markets ,market,True
market_ Employment ,market,True
market_ Energy ,market,True
market_ Energy Efficiency ,market,True
market_ Energy Management ,market,True
market_ Enterprise Software ,market,True
market_ Enterprises ,market,True
market_ Entertainment ,market,True
market_ Entrepreneur ,market,True
market_ Events ,market,True
market_ Facebook Applications ,market,True
market_ Fantasy Sports ,market,True
market_ Fashion ,market,True
market_ File Sharing ,market,True
market_ Film ,market,True
market_ Finance ,market,True
market_ Financial Services ,market,True
market_ Fitness ,market,True
market_ Flash Sales ,market,True
market_ Flash Storage ,market,True
market_ Flowers ,market,True
market_ Forums ,market,True
market_ Fraud Detection ,market,True
market_ Freemium ,market,True
market_ FreetoPlay Gaming ,market,True
market_ Gambling ,market,True
market_ Game ,market,True
market_ Games ,market,True
market_ Gift Card ,market,True
market_ Gps ,market,True
market_ Group Buying ,market,True
market_ Guides ,market,True
market_ Hardware ,market,True
market_ Hardware + Software ,market,True
market_ Health Care ,market,True
market_ Health and Wellness ,market,True
market_ Healthcare Services ,market,True
market_ Home & Garden ,market,True
market_ Home Decor ,market,True
market_ Homeland Security ,market,True
market_ Hospitality ,market,True
market_ Hotels ,market,True
market_ Humanitarian ,market,True
market_ Image Recognition ,market,True
market_ Incentives ,market,True
market_ Information Security ,market,True
market_ Information Services ,market,True
market_ Information Technology ,market,True
market_ Infrastructure ,market,True
market_ Intellectual Asset Management ,market,True
market_ Internet ,market,True
market_ Internet Marketing ,market,True
market_ Internet TV ,market,True
market_ Investment Management ,market,True
market_ Journalism ,market,True
market_ Kids ,market,True
market_ Language Learning ,market,True
market_ Law Enforcement ,market,True
market_ Lead Generation ,market,True
market_ Legal ,market,True
market_ Leisure ,market,True
market_ Licensing ,market,True
market_ Life Sciences ,market,True
market_ Lifestyle ,market,True
market_ Linux ,market,True
market_ Local ,market,True
market_ Local Advertising ,market,True
market_ Local Based Services ,market,True
market_ Local Search ,market,True
market_ Location Based Services ,market,True
market_ Loyalty Programs ,market,True
market_ M2M ,market,True
market_ MMO Games ,market,True
market_ Mac ,market,True
market_ Manufacturing ,market,True
market_ Maps ,market,True
market_ Market Research ,market,True
market_ Marketing Automation ,market,True
market_ Marketplaces ,market,True
market_ Match-Making ,market,True
market_ Media ,market,True
market_ Medical ,market,True
market_ Medical Devices ,market,True
market_ Medical Professionals ,market,True
market_ Meeting Software ,market,True
market_ Messaging ,market,True
market_ MicroBlogging ,market,True
market_ Mobile ,market,True
market_ Mobile Coupons ,market,True
market_ Mobile Devices ,market,True
market_ Mobile Games ,market,True
market_ Mobile Payments ,market,True
market_ Mobile Social ,market,True
market_ Mobile Software Tools ,market,True
market_ Mobile Video ,market,True
market_ Monetization ,market,True
market_ Music ,market,True
market_ NFC ,market,True
market_ Nanotechnology ,market,True
market_ Natural Language Processing ,market,True
market_ Navigation ,market,True
market_ Network Security ,market,True
market_ Networking ,market,True
market_ Neuroscience ,market,True
market_ News ,market,True
market_ Nightlife ,market,True
market_ Nonprofits ,market,True
market_ Oil ,market,True
market_ Online Dating ,market,True
market_ Online Gaming ,market,True
market_ Online Rental ,market,True
market_ Online Reservations ,market,True
market_ Online Scheduling ,market,True
market_ Online Shopping ,market,True
market_ Open Source ,market,True
market_ Opinions ,market,True
market_ Optimization ,market,True
market_ Organic Food ,market,True
market_ PaaS ,market,True
market_ Parenting ,market,True
market_ Payments ,market,True
market_ Peer-to-Peer ,market,True
market_ Personal Finance ,market,True
market_ Personalization ,market,True
market_ Pets ,market,True
market_ Pharmaceuticals ,market,True
market_ Photo Editing ,market,True
market_ Photo Sharing ,market,True
market_ Photography ,market,True
market_ Politics ,market,True
market_ Portals ,market,True
market_ Predictive Analytics ,market,True
market_ Price Comparison ,market,True
market_ Privacy ,market,True
market_ Private Social Networking ,market,True
market_ Product Design ,market,True
market_ Productivity Software ,market,True
market_ Professional Networking ,market,True
market_ Promotional ,market,True
market_ Property Management ,market,True
market_ Proximity Internet ,market,True
market_ Public Relations ,market,True
market_ Public Transportation ,market,True
market_ Publishing ,market,True
market_ RFID ,market,True
market_ Real Estate ,market,True
market_ Real Time ,market,True
market_ Recruiting ,market,True
market_ Recycling ,market,True
market_ Reputation ,market,True
market_ Restaurants ,market,True
market_ Retail ,market,True
market_ Reviews and Recommendations ,market,True
market_ Risk Management ,market,True
market_ SEO ,market,True
market_ SMS ,market,True
market_ SNS ,market,True
market_ SaaS ,market,True
market_ Sales and Marketing ,market,True
market_ Search ,market,True
market_ Search Marketing ,market,True
market_ Security ,market,True
market_ Semantic Search ,market,True
market_ Semantic Web ,market,True
market_ Semiconductors ,market,True
market_ Sensors ,market,True
market_ Service Providers ,market,True
market_ Services ,market,True
market_ Shipping ,market,True
market_ Shoes ,market,True
market_ Shopping ,market,True
market_ Small and Medium Businesses ,market,True
market_ Social Bookmarking ,market,True
market_ Social Buying ,market,True
market_ Social CRM ,market,True
market_ Social Commerce ,market,True
market_ Social Games ,market,True
market_ Social Media ,market,True
market_ Social Media Advertising ,market,True
market_ Social Media Marketing ,market,True
market_ Social Media Monitoring ,market,True
market_ Social Network Media ,market,True
market_ Social Search ,market,True
market_ Software ,market,True
market_ Solar ,market,True
market_ Spas ,market,True
market_ Speech Recognition ,market,True
market_ Sports ,market,True
market_ Startups ,market,True
market_ Stock Exchanges ,market,True
market_ Storage ,market,True
market_ Subscription Businesses ,market,True
market_ Supply Chain Management ,market,True
market_ Sustainability ,market,True
market_ Synchronization ,market,True
market_ Tablets ,market,True
market_ Task Management ,market,True
market_ Tech Field Support ,market,True
market_ Technology ,market,True
market_ Telecommunications ,market,True
market_ Telephony ,market,True
market_ Television ,market,True
market_ Ticketing ,market,True
market_ Tourism ,market,True
market_ Toys ,market,True
market_ Tracking ,market,True
market_ Training ,market,True
market_ Transportation ,market,True
market_ Travel ,market,True
market_ Travel & Tourism ,market,True
market_ Trusted Networks ,market,True
market_ Tutoring ,market,True
market_ Twitter Applications ,market,True
market_ Unifed Communications ,market,True
market_ Universities ,market,True
market_ Utilities ,market,True
market_ Vacation Rentals ,market,True
market_ Venture Capital ,market,True
market_ Vertical Search ,market,True
market_ Video ,market,True
market_ Video Chat ,market,True
market_ Video Games ,market,True
market_ Video Streaming ,market,True
market_ Video on Demand ,market,True
market_ Virtual Currency ,market,True
market_ Virtual Goods ,market,True
market_ Virtual Worlds ,market,True
market_ Virtualization ,market,True
market_ Visual Search ,market,True
market_ VoIP ,market,True
market_ Web Browsers ,market,True
market_ Web CMS ,market,True
market_ Web Design ,market,True
market_ Web Development ,market,True
market_ Web Hosting ,market,True
market_ Web Tools ,market,True
market_ WebOS ,market,True
market_ Windows Phone 7 ,market,True
market_ Wine And Spirits ,market,True
market_ Wireless ,market,True
market_ Women ,market,True
market_ World Domination ,market,True
market_ iOS ,market,True
market_ iPad ,market,True
market_ iPhone ,market,True
market_ mHealth ,market,True
market_other,market,True
